Instance	"group"	
"Adam Harrison"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Adenike Grange"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"Agnes Tsoi"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Traditional_Medicine"""
"Akira Shimatsu"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Endocrinology"""
"Alanna Bree"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Aljoscha Neubauer"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Ana Rath"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Rare_Diseases"""
"Andrew Devereau"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Rare_Diseases"""
"Andrew Dick"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Andrew McDonagh"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Anil Adisesh"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_WG_Occupational"""
"Anne Sikanda"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_WG_Nutrition"""
"Annette Pruss-Ustun"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_WG_Environmental"""
"Annette W-Dahl"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Musculoskeletal"""
"August Colenbrander"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Ophthalmology"""
"Belinda Gabbe"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Benjamin Hidalgo-Matlock"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Berna Ulug"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Bernard Gersh"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Cardiovascular"""
"Bertrand Bellet"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Rare_Diseases"""
"Byung Wook Lee"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Traditional_Medicine"""
"Caroline Finch"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Cassia Buchalla"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Catherine Hooppell"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neurology"""
"Catherine Sykes"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Cherine Fahim"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neurology"""
"Cille Kennedy"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_H_Functioning"""
"Cleone Rooney"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_GURM"""
"Crispian Scully"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Oral_Health"""
"Dale Edgar"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"David Forman"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neoplasms"""
"David Ingbar"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Respiratory"""
"David Thomas"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"David van der Zwaag"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Deepti Kukreja"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Mental_Health"""
"Donna Pickett"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_H_Morbidity"""
"Doris Chou"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_GURM"""
"Edith Nnoruka"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Eduardo Silva"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Emiko Oikawa"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Mortality"""
"Emmet Keeffe"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Hepatology_and_Pancreatobiliary"""
"Fiona Wood"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Francesco Gongolo"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Franz Grehn"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Garry Waller"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Mortality"""
"Geoffrey Reed"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Mental_Health"""
"Gerard Pavillon"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_H_Mortality"""
"Gerold Strucki"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_H_Functioning"""
"Gordon Shen"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Neurology"""
"Hande Sart Gassert"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Hiroyuki Moriuchi"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"Ingrida Januleviciene"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"Ivan Ivanov"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_WG_Occupational"""
"Jacek Szepietowski"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Dermatology"""
"Jacques Levin"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"James Harrison"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_External_Causes"""
"Jane Millar"	"""ICDGroup"",""World"",""IHTSDO"",""http://who.int/icd#TAG_H_Functioning"""
"Jayanthi Stjernsward"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Oral_Health"""
"Jeffrey Linzer"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Paediatrics"""
"Joao Correia"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Mental_Health"""
"John Forrester"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Ophthalmology"""
"John Melvin"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Jonathan Kay"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Rheumatology"""
"Jose Luis Vazquez-Barquero"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Functioning"""
"Julie Rust"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Internal_Medicine"""
"Julije Mestrovic"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Paediatrics"""
"Junichi Akiyama"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_IM_Gastroenterology"""
"Karyn Chen"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Internal_Medicine"""
"Kazuhide Yamaguchi"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_Internal_Medicine"""
"Kenji Watanabe"	"""ICDGroup"",""World"",""RSG"",""http://who.int/icd#TAG_Traditional_Medicine"""
"Kerry Innes"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Kirsten McKenzie"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
"Kondhee Sangkhavasi"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_H_Morbidity"""
"Lee Annest"	"""ICDGroup"",""World"",""http://who.int/icd#TAG_External_Causes"""
